Company,Person (Full Name),Race (White/POC),Gender (Female/Male),Position,Sources (web links),Timestamp (date),,,,,,,,,,,,,,,,,,,,
Snapchat,Stanley Meresman,White,Male,Board of Directors,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,Scott D. Miller,White,Male,Board of Directors,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,Poppy Thorpe,White,Female,Board of Directors,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,Christopher Young,POC,Male,Board of Directors,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Wendy's,Todd A. Penegor,White,Male,President and Chief Executive Officer,https://www.irwendys.com/leadership/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Wendy's,Leigh A. Burnside,White,Female,"Senior Vice President, Finance and Chief Accounting Officer",https://www.irwendys.com/leadership/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Wendy's,Liliana M. Esposito,White,Female,Chief Communications Officer,https://www.irwendys.com/leadership/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Wendy's,Kurt A. Kane,White,Male,"Executive Vice President, Chief Concept and Marketing Officer",https://www.irwendys.com/leadership/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Wendy's,M. Coley O'Brien,White,Male,Chief People Officer,https://www.irwendys.com/leadership/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Wendy's,Gunther Plosch,White,Male,Chief Financial Officer,https://www.irwendys.com/leadership/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Wendy's,Abigail Pringle,White,Female,Chief Global Development Officer and International,https://www.irwendys.com/leadership/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Wendy's,E.J. Wunsch,White,Male,Chief Legal Officer and Secretary,https://www.irwendys.com/leadership/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Wendy's,Nelson Peltz,White,Male,Board of Directors,https://www.wendys.com/board-directors,8/13/20,,,,,,,,,,,,,,,,,,,,
Wendy's,Peter W. May,White,Male,Board of Directors,https://www.wendys.com/board-directors,8/13/20,,,,,,,,,,,,,,,,,,,,
Wendy's,Kristin A. Dolan,White,Female,Board of Directors,https://www.wendys.com/board-directors,8/13/20,,,,,,,,,,,,,,,,,,,,
Wendy's,Kenneth W. Gilbert,POC,Male,Board of Directors,https://www.wendys.com/board-directors,8/13/20,,,,,,,,,,,,,,,,,,,,
Wendy's,Dennis M. Kass,White,Male,Board of Directors,https://www.wendys.com/board-directors,8/13/20,,,,,,,,,,,,,,,,,,,,
Wendy's,Joseph A. Levato,White,Male,Board of Directors,https://www.wendys.com/board-directors,8/13/20,,,,,,,,,,,,,,,,,,,,
Wendy's,"Michelle ""Mich"" J. Mathews-Spradlin",White,Female,Board of Directors,https://www.wendys.com/board-directors,8/13/20,,,,,,,,,,,,,,,,,,,,
Wendy's,Matthew H. Peltz,White,Male,Board of Directors,https://www.wendys.com/board-directors,8/13/20,,,,,,,,,,,,,,,,,,,,
Wendy's,Peter H. Rothschild,White,Male,Board of Directors,https://www.wendys.com/board-directors,8/13/20,,,,,,,,,,,,,,,,,,,,
Wendy's,Arthur B. Winkleblack,White,Male,Board of Directors,https://www.wendys.com/board-directors,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Robert A. Iger,White,Male,"Executive Chairman and Chairman of the Board, The Walt Disney Company",https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Bob Chapek,White,Male,"Chief Executive Officer, The Walt Disney Company",https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Alan Bergman,White,Male,"Co-Chairman, The Walt Disney Studios",https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Alan Braverman,White,Male,"Senior Executive Vice President, General Counsel and Secretary, The Walt Disney Company",https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Rebecca Campbell,White,Female,"Chairman, Direct-To-Consumer and International",https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Josh D'Amaro,White,Male,"Chairman, Disney Parks, Experiences and Products",https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Kareem Daniel,POC,Male,"President, Consumer Products, Games and Publishing and Chief of Staff, Office of the CEO",https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Carlos A. Gómez,POC,Male,"Senior Vice President and Treasurer, The Walt Disney Company",https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Alan F. Horn,White,Male,"Co-Chairman and Chief Creative Officer, The Walt Disney Studios",https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Ronald L. Iden,White,Male,"Senior Vice President and Chief Security Officer, The Walt Disney Company",https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Nancy Lee,POC,Female,"Senior Vice President and Chief of Staff to the Executive Chairman, The Walt Disney Company",https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Christine M. McCarthy,White,Female,"Senior Executive Vice President and Chief Financial Officer, The Walt Disney Company",https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Zenia Mucha,White,Female,"Senior Executive Vice President and Chief Communications Officer, The Walt Disney Company",https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Latondra Newton,POC,Female,"Senior Vice President, Chief Diversity Officer, The Walt Disney Company",https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Jayne Parker,White,Female,"Senior Executive Vice President and Chief Human Resources Officer, The Walt Disney Company",https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,James Pitaro,White,Male,"President of ESPN and Co-Chair, Disney Media Networks",https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Peter Rice,White,Male,"Chairman, Walt Disney Television and Co-Chair, Disney Media Networks",https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Lowell Singer,White,Male,"Senior Vice President, Investor Relations",https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Brent Woodford,White,Male,"Executive Vice President, Controllership, Financial Planning and Tax, The Walt Disney Company",https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Jack Yellin,White,Male,"Associate General Counsel and Chief Compliance Officer, The Walt Disney Company",https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Susan E. Arnold,White,Female,Board of Directors,https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Mary T. Barra,White,Female,Board of Directors,https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Safra Catz,White,Female,Board of Directors,https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Francis A. Desouza,POC,Male,Board of Directors,https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Michael Froman,White,Male,Board of Directors,https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Maria Elena Lagomasino,POC,Female,Board of Directors,https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Mark G. Parker,White,Male,Board of Directors,https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Disney,Derica W. Rice,POC,Male,Board of Directors,https://thewaltdisneycompany.com/about/,8/13/20,,,,,,,,,,,,,,,,,,,,
Twitter,Jack Dorsey,White,Male,CEO and Co-Founder,https://investor.twitterinc.com/corporate-governance/board-of-directors/default.aspx,8/17/20,,,,,,,,,,,,,,,,,,,,
Twitter,Ned Segal,White,Male,CFO,https://www.vox.com/2017/3/9/14855646/twitter-executive-list,8/17/2020,,,,,,,,,,,,,,,,,,,,
Twitter,Anthony Noto,White,Male,COO and CFO,https://www.vox.com/2017/3/9/14855646/twitter-executive-list,8/17/20,,,,,,,,,,,,,,,,,,,,
Twitter,Vijaya Gadde,POC,Female,General Counsel,https://www.vox.com/2017/3/9/14855646/twitter-executive-list,8/17/2020,,,,,,,,,,,,,,,,,,,,
Twitter,Leslie Berland,White,Female,CMO,https://www.vox.com/2017/3/9/14855646/twitter-executive-list,8/17/20,,,,,,,,,,,,,,,,,,,,
Twitter,Ed Ho,POC,Male,VP of Product and Engineering,https://www.vox.com/2017/3/9/14855646/twitter-executive-list,8/17/2020,,,,,,,,,,,,,,,,,,,,
Twitter,Matt Derella,White,Male,VP of Global Revenue,https://www.vox.com/2017/3/9/14855646/twitter-executive-list,8/17/20,,,,,,,,,,,,,,,,,,,,
Twitter,Kayvon Beykpour,White,Male,Periscope CEO,https://www.vox.com/2017/3/9/14855646/twitter-executive-list,8/17/2020,,,,,,,,,,,,,,,,,,,,
Twitter,Keith Coleman,White,Male,VP of Product,https://www.vox.com/2017/3/9/14855646/twitter-executive-list,8/17/20,,,,,,,,,,,,,,,,,,,,
Twitter,Omid R. Kordestani,POC,Male,Chairman/Board of Director,https://www.vox.com/2017/3/9/14855646/twitter-executive-list,8/17/2020,,,,,,,,,,,,,,,,,,,,
Twitter,Kristin Binns,White,Female,VP of Comms,https://www.vox.com/2017/3/9/14855646/twitter-executive-list,8/17/20,,,,,,,,,,,,,,,,,,,,
Twitter,Ross Hoffman,White,Male,VP of Global Content Partnerships,https://www.vox.com/2017/3/9/14855646/twitter-executive-list,8/17/20,,,,,,,,,,,,,,,,,,,,
Twitter,Janae McDonough,White,Female,VP of MoPub,https://www.vox.com/2017/3/9/14855646/twitter-executive-list,8/17/2020,,,,,,,,,,,,,,,,,,,,
Twitter,Egon Durban,White,Male,Board of Director,https://investor.twitterinc.com/corporate-governance/board-of-directors/default.aspx,8/17/20,,,,,,,,,,,,,,,,,,,,
Twitter,Martha Lane Fox,White,Female,Board of Director,https://investor.twitterinc.com/corporate-governance/board-of-directors/default.aspx,8/17/2020,,,,,,,,,,,,,,,,,,,,
Twitter,Patrick Pichette,White,Male,Board of Director,https://investor.twitterinc.com/corporate-governance/board-of-directors/default.aspx,8/17/20,,,,,,,,,,,,,,,,,,,,
