Company,Person (Full Name),Race (White/POC),Gender (Female/Male),Position,Sources (web links),Timestamp (date),,,,,,,,,,,,,,,,,,,,
AT&T,Scott T. Ford,White,Male,Board of Director,https://investors.att.com/corporate-governance/board-of-directors,8/25/20,,,,,,,,,,,,,,,,,,,,
AT&T,Glenn H. Hutchins,White,Male,Board of Director,https://investors.att.com/corporate-governance/board-of-directors,8/25/20,,,,,,,,,,,,,,,,,,,,
AT&T,William E. Kennard,POC,Male,Board of Director,https://investors.att.com/corporate-governance/board-of-directors,8/25/20,,,,,,,,,,,,,,,,,,,,
AT&T,Debra L. Lee,POC,Female,Board of Director,https://investors.att.com/corporate-governance/board-of-directors,8/25/20,,,,,,,,,,,,,,,,,,,,
AT&T,Stephen J. Luczo,White,Male,Board of Director,https://investors.att.com/corporate-governance/board-of-directors,8/25/20,,,,,,,,,,,,,,,,,,,,
AT&T,Michael B. McCallister,White,Male,Board of Director,https://investors.att.com/corporate-governance/board-of-directors,8/25/20,,,,,,,,,,,,,,,,,,,,
AT&T,Beth E. Mooney,White,Female,Board of Director,https://investors.att.com/corporate-governance/board-of-directors,8/25/20,,,,,,,,,,,,,,,,,,,,
AT&T,Cynthia B. Taylor,White,Female,Board of Director,https://investors.att.com/corporate-governance/board-of-directors,8/25/20,,,,,,,,,,,,,,,,,,,,
AT&T,Geoffrey Y. Yang,POC,Male,Board of Director,https://investors.att.com/corporate-governance/board-of-directors,8/25/20,,,,,,,,,,,,,,,,,,,,
Hulu,Kelly Campbell,White,Female,President,https://press.hulu.com/executives/,8/25/20,,,,,,,,,,,,,,,,,,,,
Hulu,Jaya Kolhatkar,POC,Female,Chief Data Officer,https://press.hulu.com/executives/,8/25/20,,,,,,,,,,,,,,,,,,,,
Hulu,Dan Philips,White,Male,CTO,https://press.hulu.com/executives/,8/25/20,,,,,,,,,,,,,,,,,,,,
Hulu,Craig Erwich,White,Male,"Senior VP, Originals",https://press.hulu.com/executives/,8/25/20,,,,,,,,,,,,,,,,,,,,
Hulu,Patrizio Spagnoletto,White,Male,"Senior VP, Growth Marketing",https://press.hulu.com/executives/,8/25/20,,,,,,,,,,,,,,,,,,,,
Hulu,Gaude Lydia Paez,POC,Female,"Senior VP, Head of Corporate Communications",https://press.hulu.com/executives/,8/25/20,,,,,,,,,,,,,,,,,,,,
Hulu,Rojeh Avanesian,POC,Male,"Senior VP, Finance",https://press.hulu.com/executives/,8/25/20,,,,,,,,,,,,,,,,,,,,
Hulu,Annie Luo,POC,Female,"Senior VP, Business Development and Operations",https://press.hulu.com/executives/,8/25/20,,,,,,,,,,,,,,,,,,,,
Hulu,Chadwick Ho,POC,Male,Senior VP and General Counsel,https://press.hulu.com/executives/,8/25/20,,,,,,,,,,,,,,,,,,,,
Condé Nast,Roger Lynch,White,Male,CHIEF EXECUTIVE OFFICER,https://www.condenast.com/about,8/25/20,,,,,,,,,,,,,,,,,,,,
Condé Nast,Wolfgang Blau,White,Male,"CHIEF OPERATING OFFICER & PRESIDENT, INTERNATIONAL",https://www.condenast.com/about,8/25/20,,,,,,,,,,,,,,,,,,,,
Condé Nast,Danielle Carrig,White,Female,CHIEF COMMUNICATIONS OFFICER,https://www.condenast.com/about,8/25/20,,,,,,,,,,,,,,,,,,,,
Condé Nast,Pamela Drucker Mann,White,Female,"GLOBAL CHIEF REVENUE OFFICER & PRESIDENT, U.S. REVENUE",https://www.condenast.com/about,8/25/20,,,,,,,,,,,,,,,,,,,,
Condé Nast,Stan Duncan,White,Male,CHIEF PEOPLE OFFICER,https://www.condenast.com/about,8/25/20,,,,,,,,,,,,,,,,,,,,
Condé Nast,Deirdre Findlay,POC,Female,CHIEF MARKETING OFFICER,https://www.condenast.com/about,8/25/20,,,,,,,,,,,,,,,,,,,,
Condé Nast,Mike Goss,White,Male,CHIEF FINANCIAL OFFICER,https://www.condenast.com/about,8/25/20,,,,,,,,,,,,,,,,,,,,
Condé Nast,Oren Katzeff,White,Male,PRESIDENT OF CONDÉ NAST ENTERTAINMENT,https://www.condenast.com/about,8/25/20,,,,,,,,,,,,,,,,,,,,
Condé Nast,Sam Morgan,White,Female,CHIEF OF STAFF,https://www.condenast.com/about,8/25/20,,,,,,,,,,,,,,,,,,,,
Condé Nast,Dame Anna Wintour,White,Female,"U.S. ARTISTIC DIRECTOR, EDITOR-IN-CHIEF OF VOGUE U.S. AND GLOBAL CONTENT ADVISOR",https://www.condenast.com/about,8/25/20,,,,,,,,,,,,,,,,,,,,
Zoom Video Communications,Eric S. Yuan,POC,Male,Founder & Chief Executive Officer,https://zoom.us/team,8/25/20,,,,,,,,,,,,,,,,,,,,
Zoom Video Communications,Ryan Azus,White,Male,Chief Revenue Officer,https://zoom.us/team,8/25/20,,,,,,,,,,,,,,,,,,,,
Zoom Video Communications,Aparna Bawa,POC,Female,Chief Operating Officer & Interim Chief Legal Officer,https://zoom.us/team,8/25/20,,,,,,,,,,,,,,,,,,,,
Zoom Video Communications,Janine Pelosi,White,Female,Chief Marketing Officer,https://zoom.us/team,8/25/20,,,,,,,,,,,,,,,,,,,,
Zoom Video Communications,Velchamy Sankarlingam,POC,Male,President of Product and Engineering,https://zoom.us/team,8/25/20,,,,,,,,,,,,,,,,,,,,
Zoom Video Communications,Kelly Steckelberg,White,Female,Chief Financial Officer,https://zoom.us/team,8/25/20,,,,,,,,,,,,,,,,,,,,
Zoom Video Communications,Nick Chong,POC,Male,Head of Global Support & Services,https://zoom.us/team,8/25/20,,,,,,,,,,,,,,,,,,,,
Zoom Video Communications,Oded Gal,White,Male,Chief Product Officer,https://zoom.us/team,8/25/20,,,,,,,,,,,,,,,,,,,,
Zoom Video Communications,Lynn Haaland,White,Female,Chief Compliance and Ethics Officer,https://zoom.us/team,8/25/20,,,,,,,,,,,,,,,,,,,,
Zoom Video Communications,Damien Hooper-Campbell,POC,Male,Chief Diversity Officer,https://zoom.us/team,8/25/20,,,,,,,,,,,,,,,,,,,,
Zoom Video Communications,Brendan Ittelson,White,Male,Chief Technology Officer,https://zoom.us/team,8/25/20,,,,,,,,,,,,,,,,,,,,
Zoom Video Communications,Jason Lee,White,Male,Chief Information Security Officer,https://zoom.us/team,8/25/20,,,,,,,,,,,,,,,,,,,,
Zoom Video Communications,Sunil Madan,White,Male,Corporate Chief Information Officer,https://zoom.us/team,8/25/20,,,,,,,,,,,,,,,,,,,,
Zoom Video Communications,Harry D. Moseley,White,Male,Global Chief Information Officer,https://zoom.us/team,8/25/20,,,,,,,,,,,,,,,,,,,,
Zoom Video Communications,Lynne Oldham,White,Female,Chief People Officer,https://zoom.us/team,8/25/20,,,,,,,,,,,,,,,,,,,,
Zoom Video Communications,Jeff True,White,Male,General Counsel,https://zoom.us/team,8/25/20,,,,,,,,,,,,,,,,,,,,
Soul Pancake,Rainn Wilson,White,Male,Co-Founder,https://soulpancake.com/our-team/,8/25/20,,,,,,,,,,,,,,,,,,,,
Soul Pancake,Golriz Lucina,White,Female,Head of Creative,https://soulpancake.com/our-team/,8/25/20,,,,,,,,,,,,,,,,,,,,
Soul Pancake,Devon Gundry,White,Male,Co-Founder,https://soulpancake.com/our-team/,8/25/20,,,,,,,,,,,,,,,,,,,,
Soul Pancake,Sarah North,White,Female,Head of Television,https://soulpancake.com/our-team/,8/25/20,,,,,,,,,,,,,,,,,,,,
Soul Pancake,Meredith Katz,White,Female,Head of Sales+ Business Development,https://soulpancake.com/our-team/,8/25/20,,,,,,,,,,,,,,,,,,,,
Soul Pancake,Folayo Lasaki,POC,Female,Head of Marketing,https://soulpancake.com/our-team/,8/25/20,,,,,,,,,,,,,,,,,,,,
Soul Pancake,Dariush Brizuela-Nothaft,POC,Male,Head of Content Studio,https://soulpancake.com/our-team/,8/25/20,,,,,,,,,,,,,,,,,,,,
Sandwich,Adam Lisagor,White,Male,Founder,https://sandwich.co/about/,8/25/20,,,,,,,,,,,,,,,,,,,,
Sandwich,JP Bolles,White,Male,VP of Creative,https://sandwich.co/about/,8/25/20,,,,,,,,,,,,,,,,,,,,
Sandwich,Lauren Cynkar,White,Female,VP of Accounts and Operations,https://sandwich.co/about/,8/26/20,,,,,,,,,,,,,,,,,,,,
Wayfarer,Justin Baldoni,White,Male,Co-Chairman and Co-Founder,http://wearewayfarer.com/family,8/25/20,,,,,,,,,,,,,,,,,,,,
Wayfarer,D'Angela Proctor,POC,Female,Chief Elevation Officer,http://wearewayfarer.com/family,8/25/20,,,,,,,,,,,,,,,,,,,,
Wayfarer,Ahmed Musiol,POC,Male,President and Co-founder,http://wearewayfarer.com/family,8/25/20,,,,,,,,,,,,,,,,,,,,
Wayfarer,Farhoud Meybodi,POC,Male,EVP of Creative and Co-Owner,http://wearewayfarer.com/family,8/25/20,,,,,,,,,,,,,,,,,,,,
Wayfarer,Brian Singer,White,Male,Chief Financial Officer,http://wearewayfarer.com/family,8/25/20,,,,,,,,,,,,,,,,,,,,
Wayfarer,Sarah Politis,White,Female,VP of Business Development& Creative,http://wearewayfarer.com/family,8/25/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Mike Sievert,White,Male,President & CEO,https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Néstor Cano,White,Male,"Executive VP, Integration & Transformation, and Strategic Advisor to the CEO",https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Dow Draper,White,Male,"Executive VP, Emerging Products",https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Peter A. Ewens,White,Male,"Executive VP, Corporate Strategy & Development",https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Callie Field,White,Female,"Executive VP, Customer Care",https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Jon A. Freier,White,Male,"Executive VP, Consumer Markets",https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Janice V. Kapner,White,Female,Executive VP & Chief Communications Officer,https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Michael J. Katz,White,Male,"Executive VP, T-Mobile for Business",https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Deeanne King,White,Female,Executive VP & Chief Human Resources Officer,https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Susan Loosmore,White,Female,"Executive VP, Financial Planning & Analysis",https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Jeremy Malasky,White,Male,Senior VP of Corporate Services & Chief of Staff to the CEO,https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,David A. Miller,White,Male,"Executive VP, General Counsel & Secretary",https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Peter Osvaldik,White,Male,Executive VP & Chief Financial Officer,https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Neville R. Ray,White,Male,President of Technology,https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Abdul Saad,POC,Male,Executive VP & CTO,https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Cody Sanford,White,Male,Executive VP & Chief Information and Product Officer,https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,John Saw,POC,Male,"Executive VP, Advanced & Emerging Technologies",https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Matt Staneff,White,Male,Executive VP & Chief Marketing Officer,https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Timotheus Höttges,White,Male,Board of Director,https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Marcelo Claure,POC,Male,Board of Director,https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Srikant M. Datar,POC,Male,Board of Director,https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Srini Gopalan,POC,Male,Board of Director,https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Lawrence H. Guffey,White,Male,Board of Director,https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Dr. Christian P. Illek,White,Male,Board of Director,https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Stephen R. Kappes,White,Male,Board of Director,https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
T-Mobile US,Raphael Kübler,White,Male,Board of Director,https://www.t-mobile.com/our-story/executive-leadership-team,8/26/20,,,,,,,,,,,,,,,,,,,,
CNN ,Jeff Zucker,White,Male,Chairman,https://www.cnn.com/specials/more/cnn-leadership,8/26/20,,,,,,,,,,,,,,,,,,,,
CNN ,David Vigilante,White,Male,Executive VP and General Counsel,https://www.cnn.com/specials/more/cnn-leadership,8/26/20,,,,,,,,,,,,,,,,,,,,
CNN ,Rani R. Raad,POC,Male,President,https://www.cnn.com/specials/more/cnn-leadership,8/26/20,,,,,,,,,,,,,,,,,,,,
CNN ,Andrew Morse,White,Male,Executive VP and Chief Digital Officer,https://www.cnn.com/specials/more/cnn-leadership,8/26/20,,,,,,,,,,,,,,,,,,,,
CNN ,Mike McCarthy,White,Male,Executive VP and General Manager,https://www.cnn.com/specials/more/cnn-leadership,8/26/20,,,,,,,,,,,,,,,,,,,,
CNN ,Ken Jautz,White,Male,Executive VP,https://www.cnn.com/specials/more/cnn-leadership,8/26/20,,,,,,,,,,,,,,,,,,,,
CNN ,Lisa Greene,White,Female,Executive VP and Chief HR,https://www.cnn.com/specials/more/cnn-leadership,8/26/20,,,,,,,,,,,,,,,,,,,,
CNN ,Allison Gollust,White,Female,Executive VP and Chief Marketing Officer,https://www.cnn.com/specials/more/cnn-leadership,8/26/20,,,,,,,,,,,,,,,,,,,,
CNN ,Robin Garfield,White,Female,Executive VP of Research and Scheduling for CNN,https://www.cnn.com/specials/more/cnn-leadership,8/26/20,,,,,,,,,,,,,,,,,,,,
CNN ,Amy Entelis,White,Female,Executive VP for Talent and Content Development,https://www.cnn.com/specials/more/cnn-leadership,8/26/20,,,,,,,,,,,,,,,,,,,,
CNN ,Brad Ferrer,White,Male,Executive VP and Chief Financial Officer,https://www.cnn.com/specials/more/cnn-leadership,8/26/20,,,,,,,,,,,,,,,,,,,,
CNN ,Johnita P. Due,POC,Female,Senior VP and Chief Diversity & Inclusion Officer,https://www.cnn.com/specials/more/cnn-leadership,8/26/20,,,,,,,,,,,,,,,,,,,,
CNN ,Richard Davis,White,Male,EVP of News Standards and Practices,https://www.cnn.com/specials/more/cnn-leadership,8/26/20,,,,,,,,,,,,,,,,,,,,
CNN ,Katrina Cukaj,White,Female,Executive VP of Ad Sales Strategy,https://www.cnn.com/specials/more/cnn-leadership,8/26/20,,,,,,,,,,,,,,,,,,,,
CNN ,Michael Bass,White,Male,Executive VP of Programming,https://www.cnn.com/specials/more/cnn-leadership,8/26/20,,,,,,,,,,,,,,,,,,,,
NPR,John Lansing,White,Male,President and CEO,https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Nancy Barnes,White,Female,Senior VP of News and Editorial Director,https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Michael F. Beach,White,Male,"Vice President, Distribution",https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Edith Chapin,White,Female,Vice President & Executive Editor,https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Deborah A. Cowan,POC,Female,Chief Financial Officer and Treasurer,https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Liz Danzico,White,Female,"Vice President, Design",https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Stacey Foxwell,White,Female,"Vice President, Operations",https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Sarah Gilbert,White,Female,"Vice President, News Programming",https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Anya Grundmann,White,Female,"Senior Vice President, Programming and Audience Development",https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Jonathan Hart,White,Male,Chief Legal Officer and General Counsel,https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Thomas Hjelm,White,Male,Chief Digital Officer,https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Gemma Hooley,White,Female,"Senior Vice President, Member Partnership",https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Nikki Jones,POC,Female,"Vice President, Change Management and Transformation",https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Kerry Lenahan,White,Female,"Vice President, Product",https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Emily Littleton,White,Female,"Vice President, Corporate Communications",https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Matt Myers,White,Male,"Vice President, Brand and Marketing",https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Chris Nelson,White,Male,"Vice President, Technology Operations",https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Mike Riksen,White,Male,"Vice President, Policy and Representation",https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Michael Smith,POC,Male,Chief Marketing Officer,https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Carrie Storer,White,Female,Chief HR Officer,https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Joel Sucherman,White,Male,"Vice President, New Platform Partnerships",https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Christopher Turpin,White,Male,Chief of Staff,https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Keith Woods,POC,Male,Chief Diversity Officer,https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Kelly McBride,White,Female,Public Editor,https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Gina Garrubbo,White,Female,President and CEO of NPM,https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Bryan Moffett,White,Male,Chief Operating Officer of NPM,https://www.npr.org/about-npr/182676688/leadership-at-npr,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Mike Crane,White,Male,Board of Directors,https://www.npr.org/about-npr/182676957/npr-board-of-directors,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,John Decker,White,Male,Board of Directors,https://www.npr.org/about-npr/182676957/npr-board-of-directors,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Tim Eby,White,Male,Board of Directors,https://www.npr.org/about-npr/182676957/npr-board-of-directors,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Jennifer Ferro,White,Female,Board of Directors,https://www.npr.org/about-npr/182676957/npr-board-of-directors,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Nico Leone,White,Male,Board of Directors,https://www.npr.org/about-npr/182676957/npr-board-of-directors,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Joe O'Connor,White,Male,Board of Directors,https://www.npr.org/about-npr/182676957/npr-board-of-directors,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Maria O'Mara,White,Female,Board of Directors,https://www.npr.org/about-npr/182676957/npr-board-of-directors,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,LaFontaine E. Oliver,POC,Male,Board of Directors,https://www.npr.org/about-npr/182676957/npr-board-of-directors,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Jay Pearce,White,Male,Board of Directors,https://www.npr.org/about-npr/182676957/npr-board-of-directors,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Mike Savage,White,Male,Board of Directors,https://www.npr.org/about-npr/182676957/npr-board-of-directors,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Joyce Slocum,White,Female,Board of Directors,https://www.npr.org/about-npr/182676957/npr-board-of-directors,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,John McGinn,White,Male,Board of Directors,https://www.npr.org/about-npr/182676957/npr-board-of-directors,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Carlos Alvarez,POC,Male,Board of Directors,https://www.npr.org/about-npr/182676957/npr-board-of-directors,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Fred Dust,White,Male,Board of Directors,https://www.npr.org/about-npr/182676957/npr-board-of-directors,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Paul G. Haaga Jr.,White,Male,Board of Directors,https://www.npr.org/about-npr/182676957/npr-board-of-directors,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Jacqueline Reses,White,Female,Board of Directors,https://www.npr.org/about-npr/182676957/npr-board-of-directors,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Jeff Sine,White,Male,Board of Directors,https://www.npr.org/about-npr/182676957/npr-board-of-directors,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Carlos Watson,POC,Male,Board of Directors,https://www.npr.org/about-npr/182676957/npr-board-of-directors,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Howard Wollner,White,Male,Board of Directors,https://www.npr.org/about-npr/182676957/npr-board-of-directors,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Telisa Yancy,POC,Female,Board of Directors,https://www.npr.org/about-npr/182676957/npr-board-of-directors,8/27/20,,,,,,,,,,,,,,,,,,,,
NPR,Neal Zuckerman,White,Male,Board of Directors,https://www.npr.org/about-npr/182676957/npr-board-of-directors,8/27/20,,,,,,,,,,,,,,,,,,,,
Uber,Dara Khowsrowshahi,POC,Male,CEO,https://www.uber.com/newsroom/leadership/,8/27/20,,,,,,,,,,,,,,,,,,,,
Uber,Nelson Chai,POC,Male,Chief Financial Officer,https://www.uber.com/newsroom/leadership/,8/27/20,,,,,,,,,,,,,,,,,,,,
Uber,Tony West,POC,Male,Chief Legal Officer,https://www.uber.com/newsroom/leadership/,8/27/20,,,,,,,,,,,,,,,,,,,,
Uber,Nikki Krishnamurthy,White,Female,Chief People Officer,https://www.uber.com/newsroom/leadership/,8/27/20,,,,,,,,,,,,,,,,,,,,
Uber,Andrew Macdonald,White,Male,"Senior Vice President, Mobility & Business Operations",https://www.uber.com/newsroom/leadership/,8/27/20,,,,,,,,,,,,,,,,,,,,
Uber,Pierre-Dimitri Gore-Coty,White,Male,"Vice President, Delivery",https://www.uber.com/newsroom/leadership/,8/27/20,,,,,,,,,,,,,,,,,,,,
Uber,Sundeep Jain,POC,Male,"Vice President, Technology",https://www.uber.com/newsroom/leadership/,8/27/20,,,,,,,,,,,,,,,,,,,,
Uber,Eric Meyhofer,White,Male,Head of Advanced Technologies Group,https://www.uber.com/newsroom/leadership/,8/27/20,,,,,,,,,,,,,,,,,,,,
Uber,Jill Hazelbaker,White,Female,"Senior Vice President, Marketing and Public Affairs",https://www.uber.com/newsroom/leadership/,8/27/20,,,,,,,,,,,,,,,,,,,,
Uber,Bo Young Lee,POC,Female,Chief Diversity and Inclusion Officer,https://www.uber.com/newsroom/leadership/,8/27/20,,,,,,,,,,,,,,,,,,,,
Uber,Revathi Advaithi,POC,Female,Board of Directors,https://www.uber.com/newsroom/leadership/,8/27/20,,,,,,,,,,,,,,,,,,,,
Uber,Robert Eckert,White,Male,Board of Directors,https://www.uber.com/newsroom/leadership/,8/27/20,,,,,,,,,,,,,,,,,,,,
Uber,Mandy Ginsberg,White,Male,Board of Directors,https://www.uber.com/newsroom/leadership/,8/27/20,,,,,,,,,,,,,,,,,,,,
Uber,Ursula Burns,POC,Female,Board of Directors,https://www.uber.com/newsroom/leadership/,8/27/20,,,,,,,,,,,,,,,,,,,,
Uber,Wan Ling Martello,POC,Female,Board of Directors,https://www.uber.com/newsroom/leadership/,8/27/20,,,,,,,,,,,,,,,,,,,,
Uber,Yasir Al-Rumayyan,POC,Male,Board of Directors,https://www.uber.com/newsroom/leadership/,8/27/20,,,,,,,,,,,,,,,,,,,,
Uber,Ronald Sugar,White,Male,Board of Directors,https://www.uber.com/newsroom/leadership/,8/27/20,,,,,,,,,,,,,,,,,,,,
Uber,John Thain,White,Male,Board of Directors,https://www.uber.com/newsroom/leadership/,8/27/20,,,,,,,,,,,,,,,,,,,,
Uber,David Trujillo,White,Male,Board of Directors,https://www.uber.com/newsroom/leadership/,8/27/20,,,,,,,,,,,,,,,,,,,,
Goldman Sachs,David M. Solomon,White,Male,Chairman and CEO,https://www.goldmansachs.com/our-firm/leadership/executive-officers/index.html,8/28/20,,,,,,,,,,,,,,,,,,,,
Goldman Sachs,John E. Waldron,White,Male,President and Chief Operating Officer,https://www.goldmansachs.com/our-firm/leadership/executive-officers/index.html,8/28/20,,,,,,,,,,,,,,,,,,,,
Goldman Sachs,Stephen M. Scherr,White,Male,Chief Financial OFficer,https://www.goldmansachs.com/our-firm/leadership/executive-officers/index.html,8/28/20,,,,,,,,,,,,,,,,,,,,
Goldman Sachs,John F. W. Rogers,White,Male,Executive VP,https://www.goldmansachs.com/our-firm/leadership/executive-officers/index.html,8/28/20,,,,,,,,,,,,,,,,,,,,
Goldman Sachs,Laurence Stein,White,Male,Chief Administrative Officer,https://www.goldmansachs.com/our-firm/leadership/executive-officers/index.html,8/28/20,,,,,,,,,,,,,,,,,,,,
Goldman Sachs,Beth M. Hammack,White,Female,Global Treasure,https://www.goldmansachs.com/our-firm/leadership/executive-officers/index.html,8/28/20,,,,,,,,,,,,,,,,,,,,
Goldman Sachs,Karen P. Seymour,White,Female,Executive VP and General Counsel,https://www.goldmansachs.com/our-firm/leadership/executive-officers/index.html,8/28/20,,,,,,,,,,,,,,,,,,,,
Goldman Sachs,Brian J. Lee,White,Male,Chief Risk Officer,https://www.goldmansachs.com/our-firm/leadership/executive-officers/index.html,8/28/20,,,,,,,,,,,,,,,,,,,,
